,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율,pct_change,new_col
12,2023.02.01,SK아이이테크놀로지,67900,900,+1.34%,"233,830","-5,555","-31,533","5,927,514",8.31%,1.3432835820895495,0
13,2023.02.02,SK아이이테크놀로지,73400,"5,500",+8.10%,"916,148","+169,114","+187,034","6,116,033",8.58%,8.100147275405,0
14,2023.02.03,SK아이이테크놀로지,72100,"1,300",-1.77%,"448,302","+25,053","-91,603","5,869,730",8.23%,-1.7711171662125325,-100
15,2023.02.06,SK아이이테크놀로지,72100,0,0.00%,"412,248","+30,539","-77,281","5,941,049",8.33%,0.0,0
16,2023.02.07,SK아이이테크놀로지,73500,"1,400",+1.94%,"1,671,055","-1,180","-14,929","5,926,120",8.31%,1.9417475728155331,0
17,2023.02.08,SK아이이테크놀로지,70100,"3,400",-4.63%,"1,042,421","-82,853","-387,599","5,598,521",7.85%,-4.625850340136051,-100
18,2023.02.09,SK아이이테크놀로지,70100,0,0.00%,"476,297","-34,246","-76,886","5,591,635",7.84%,0.0,0
32,2023.02.01,HMM,22500,750,+3.45%,"2,219,428","+146,035","+214,664","50,865,244",10.40%,3.4482758620689724,0
33,2023.02.02,HMM,22400,100,-0.44%,"1,714,888","-109,347","-212,057","50,774,342",10.38%,-0.4444444444444473,-100
34,2023.02.03,HMM,22600,200,+0.89%,"1,472,496","+40,284","+256,932","50,995,274",10.43%,0.8928571428571397,0
35,2023.02.06,HMM,21850,750,-3.32%,"1,366,824","-156,451","-272,219","50,743,055",10.38%,-3.31858407079646,-100
36,2023.02.07,HMM,21950,100,+0.46%,"1,143,188","-63,558","+103,038","50,886,093",10.41%,0.4576659038901587,0
37,2023.02.08,HMM,22050,100,+0.46%,"849,722","+80,207","+44,520","50,989,499",10.43%,0.4555808656036442,0
38,2023.02.09,HMM,21700,350,-1.59%,"1,136,894","-124,189","-31,261","51,069,238",10.44%,-1.5873015873015928,-100
52,2023.02.01,콤텍시스템,756,4,-0.53%,"2,114,069",+46,"-272,837","2,079,377",1.72%,-0.5263157894736858,-100
53,2023.02.02,콤텍시스템,806,50,+6.61%,"7,342,325","-23,787","+185,741","2,265,118",1.87%,6.613756613756605,0
