,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
538,2023.01.30,콤텍시스템,765,6,+0.79%,"3,505,750","+2,969","-117,279","2,286,272",1.89%
539,2023.01.27,콤텍시스템,759,51,+7.20%,"15,569,904",-17,"-672,605","2,403,551",1.99%
540,2023.01.26,콤텍시스템,708,7,+1.00%,"1,414,890",-48,"+98,930","3,076,156",2.54%
541,2023.01.25,콤텍시스템,701,11,+1.59%,"1,107,936",-57,"+395,478","2,977,226",2.46%
542,2023.01.20,콤텍시스템,690,19,+2.83%,"948,532",-81,"+341,096","2,581,748",2.13%
543,2023.01.19,콤텍시스템,671,9,-1.32%,"552,381",-59,"+66,729","2,240,652",1.85%
544,2023.01.18,콤텍시스템,680,0,0.00%,"771,255",-201,"+93,249","2,173,923",1.80%
545,2023.01.17,콤텍시스템,680,35,-4.90%,"2,976,034",-131,"-508,570","2,080,674",1.72%
546,2023.01.16,콤텍시스템,715,30,+4.38%,"3,054,397",-210,"-102,031","2,589,244",2.14%
547,2023.01.13,콤텍시스템,685,9,+1.33%,"1,389,161","-1,008","+153,287","2,691,275",2.22%
548,2023.01.12,콤텍시스템,676,3,+0.45%,"846,281","-3,003","+15,694","2,537,988",2.10%
549,2023.02.10,HMM,"21,950",250,+1.15%,"1,216,493","-83,456","+175,586","51,309,216",10.49%
550,2023.02.09,HMM,"21,700",350,-1.59%,"1,136,894","-124,189","-31,261","51,069,238",10.44%
551,2023.02.08,HMM,"22,050",100,+0.46%,"849,722","+80,207","+44,520","50,989,499",10.43%
552,2023.02.07,HMM,"21,950",100,+0.46%,"1,143,188","-63,558","+103,038","50,886,093",10.41%
553,2023.02.06,HMM,"21,850",750,-3.32%,"1,366,824","-156,451","-272,219","50,743,055",10.38%
554,2023.02.03,HMM,"22,600",200,+0.89%,"1,472,496","+40,284","+256,932","50,995,274",10.43%
555,2023.02.02,HMM,"22,400",100,-0.44%,"1,714,888","-109,347","-212,057","50,774,342",10.38%
556,2023.02.01,HMM,"22,500",750,+3.45%,"2,219,428","+146,035","+214,664","50,865,244",10.40%
557,2023.01.31,HMM,"21,750",350,-1.58%,"2,179,607","+88,015","-170,832","50,644,118",10.36%
558,2023.01.30,HMM,"22,100","1,200",-5.15%,"3,410,725","-54,610","-979,243","50,795,105",10.39%
559,2023.01.27,HMM,"23,300","1,500",+6.88%,"12,028,994","+250,220","+246,538","51,665,870",10.56%
560,2023.01.26,HMM,"21,800",350,-1.58%,"1,545,217","+130,158","-453,947","51,273,344",10.48%
561,2023.01.25,HMM,"22,150",800,+3.75%,"2,170,717","+481,433","+311,002","51,636,857",10.56%
562,2023.01.20,HMM,"21,350",0,0.00%,"1,058,066","-132,650","+97,374","51,295,634",10.49%
563,2023.01.19,HMM,"21,350",150,-0.70%,"644,071","+7,652","+136,882","51,153,260",10.46%
564,2023.01.18,HMM,"21,500",50,-0.23%,"855,162","-3,415","+63,416","50,913,378",10.41%
565,2023.01.17,HMM,"21,550",150,+0.70%,"999,484","-43,896","+257,888","50,731,406",10.37%
566,2023.01.16,HMM,"21,400",50,+0.23%,"986,614","+152,289","-6,236","50,449,218",10.32%
567,2023.01.13,HMM,"21,350","1,400",+7.02%,"3,060,978","+372,258","+965,170","50,326,485",10.29%
568,2023.01.12,HMM,"19,950",400,-1.97%,"1,199,938","-88,600","-272,602","49,267,569",10.07%
569,2023.02.10,SK아이이테크놀로지,"67,800","2,300",-3.28%,"608,513","-53,457","-114,303","5,480,926",7.69%
570,2023.02.09,SK아이이테크놀로지,"70,100",0,0.00%,"476,297","-34,246","-76,886","5,591,635",7.84%
571,2023.02.08,SK아이이테크놀로지,"70,100","3,400",-4.63%,"1,042,421","-82,853","-387,599","5,598,521",7.85%
572,2023.02.07,SK아이이테크놀로지,"73,500","1,400",+1.94%,"1,671,055","-1,180","-14,929","5,926,120",8.31%
573,2023.02.06,SK아이이테크놀로지,"72,100",0,0.00%,"412,248","+30,539","-77,281","5,941,049",8.33%
574,2023.02.03,SK아이이테크놀로지,"72,100","1,300",-1.77%,"448,302","+25,053","-91,603","5,869,730",8.23%
575,2023.02.02,SK아이이테크놀로지,"73,400","5,500",+8.10%,"916,148","+169,114","+187,034","6,116,033",8.58%
576,2023.02.01,SK아이이테크놀로지,"67,900",900,+1.34%,"233,830","-5,555","-31,533","5,927,514",8.31%
577,2023.01.31,SK아이이테크놀로지,"67,000",200,+0.30%,"286,698","+28,654","-25,756","5,958,453",8.36%
578,2023.01.30,SK아이이테크놀로지,"66,800","2,400",-3.47%,"477,368","-11,493","-105,539","5,989,102",8.40%
579,2023.01.27,SK아이이테크놀로지,"69,200",200,-0.29%,"631,227","+43,329","+13,910","6,094,379",8.55%
580,2023.01.26,SK아이이테크놀로지,"69,400","3,900",+5.95%,"707,972","+71,647","+125,029","6,116,862",8.58%
581,2023.01.25,SK아이이테크놀로지,"65,500","2,700",+4.30%,"279,814","+30,421","+27,768","6,070,333",8.51%
582,2023.01.20,SK아이이테크놀로지,"62,800","1,800",+2.95%,"190,652","+18,493","-18,539","6,053,421",8.49%
583,2023.01.19,SK아이이테크놀로지,"61,000",900,-1.45%,"179,114","-41,440","-3,337","6,071,960",8.52%
584,2023.01.18,SK아이이테크놀로지,"61,900","1,400",-2.21%,"338,112","-46,795","-2,840","6,168,097",8.65%
585,2023.01.17,SK아이이테크놀로지,"63,300","1,600",-2.47%,"294,128","-48,907","+8,954","6,169,351",8.65%
586,2023.01.16,SK아이이테크놀로지,"64,900",200,-0.31%,"155,883",+651,"-12,081","6,151,306",8.63%
587,2023.01.13,SK아이이테크놀로지,"65,100",400,+0.62%,"305,355","+2,611","+63,158","6,154,646",8.63%
588,2023.01.12,SK아이이테크놀로지,"64,700","3,000",+4.86%,"804,168","-14,384","+227,255","6,111,488",8.57%
