,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
561,2023.02.01,카카오,"62,200",800,+1.30%,"1,582,425","-409,931","+263,563","117,728,263",26.43%
562,2023.02.02,카카오,"64,500","2,300",+3.70%,"2,936,610","+496,543","+372,906","118,119,889",26.52%
563,2023.02.03,카카오,"67,200","2,700",+4.19%,"5,019,685","+670,929","+194,464","118,314,353",26.56%
564,2023.02.06,카카오,"65,200","2,000",-2.98%,"2,276,799","-420,556","-225,847","118,088,506",26.51%
565,2023.02.07,카카오,"68,000","2,800",+4.29%,"3,026,310","+280,761","+42,159","118,127,509",26.52%
566,2023.02.08,카카오,"69,100","1,100",+1.62%,"3,109,216","+197,340","-352,588","117,974,921",26.49%
567,2023.02.09,카카오,"70,900","1,800",+2.60%,"3,602,387","+433,800","-140,891","117,834,030",26.45%
581,2023.02.01,삼성전자,"61,800",800,+1.31%,"18,570,133","-516,791","+62,860","3,005,826,373",50.35%
582,2023.02.02,삼성전자,"63,500","1,700",+2.75%,"23,285,983","-1,199,802","+5,119,433","3,011,043,701",50.44%
583,2023.02.03,삼성전자,"63,800",300,+0.47%,"15,194,598","-2,021,442","+3,805,110","3,014,053,481",50.49%
584,2023.02.06,삼성전자,"61,600","2,200",-3.45%,"15,529,356","-1,768,399","-2,275,019","3,011,898,262",50.45%
585,2023.02.07,삼성전자,"61,900",300,+0.49%,"14,491,039","-1,028,256","+563,336","3,012,802,298",50.47%
586,2023.02.08,삼성전자,"63,100","1,200",+1.94%,"12,243,125","-683,561","+2,989,063","3,015,974,361",50.52%
587,2023.02.09,삼성전자,"63,000",100,-0.16%,"12,164,865","-1,289,172","+1,553,218","3,017,760,979",50.55%
